Org_Identifier,Org_FormalName,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,Location_SourceMapScale,Location_HorzAccuracyMeasure,Location_HorzAccuracyMeasureUnit,Location_HorzCollectionMethod,Location_VerticalMeasure,Location_VerticalMeasureUnit,Location_VerticalAccuracyMeasure,Location_VerticalAccuracyMeasureUnit,Location_VertCollectionMethod,Location_VertCoordReferenceSystemDatum,Location_LocalAquiferCode,Location_LocalAquiferCodeContext,Location_LocalAquifer,Location_LocalAquiferDescription,Location_AquiferFormationType,Location_WellType,Location_AquiferType,Location_NationalAquifer,Location_WellHoleDepthMeasure,Location_WellHoleDepthUnit,Location_WellContructionDate,Location_WellDepthMeasure,Location_WellDepthMeasureUnit,Location_DrainageAreaMeasure,Location_DrainageAreaMeasureUnit,Location_ContributingDrainageAreaMeasure,Location_ContributingDrainageAreaMeasureUnit,AlternateLocation_IdentifierA,AlternateLocation_IdentifierContextA,AlternateLocation_IdentifierB,AlternateLocation_IdentifierContextB,AlternateLocation_IdentifierC,AlternateLocation_IdentifierContextC,ProviderName,LocationAttachment_FileName,LocationAttachment_FileType,LocationAttachment_FileDownload
USGS,U.S. Geological Survey,USGS-04164523,"KINGSBERRY DRAIN AT 24 MILE RD NR DISCO, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.6841666666667,-83.0380555555556,NAD83,42.6841666666667,-83.0380555555556,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-041645249,"TRIB TO M BR CLINTON R AT VILLA CIRCLE NR DISCO,MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.6866666666667,-83.0572222222222,NAD83,42.6866666666667,-83.0572222222222,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-04164508,"NEWLAND DRAIN AT 25 MILE ROAD NEAR UTICA, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.6975,-83.0766666666667,NAD83,42.6975,-83.0766666666667,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-04164510,"NEWLAND DRAIN AT 24 MILE ROAD NEAR WASHINGTON, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.6828101061847,-83.0771529290317,NAD83,42.6828101061847,-83.0771529290317,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-04164515,"M BR CLINTON RIVER AT SHELBY RD NR UTICA, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.6788888888889,-83.0663888888889,NAD83,42.6788888888889,-83.0663888888889,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-04164520,"MB CLINTON RIVER AT 24-MILE RD AT UTICA, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.683894632843625,-83.04374934869546,NAD83,42.683894632843625,-83.04374934869546,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-04164529,"M BR CLINTON RIVER AT 25 MILE RD NR WASHINGTON, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.6986111111111,-83.0305555555556,NAD83,42.6986111111111,-83.0305555555556,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-041645308,"TRIB TO LAWSON DR AT CELESTIAL COURT NR DISCO, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.6902777777778,-83.0561111111111,NAD83,42.6902777777778,-83.0561111111111,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-041645313,"TRIB TO LAWSON DR AT WOODMIRE DR NR DISCO, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.6908333333333,-83.0533333333333,NAD83,42.6908333333333,-83.0533333333333,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-041645254,"TRIB TO M BR CLINTON R AT MOUND RD NR DISCO, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.6855555555556,-83.0541666666667,NAD83,42.6855555555556,-83.0541666666667,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-04164526,"TRIB TO M BR CLINTON R AT AURORA PK DR NR DISCO,MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.6875,-83.0436111111111,NAD83,42.6875,-83.0436111111111,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-04164533,"TRIB TO LAWSON DRAIN AT MOUND RD NR DISCO, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.7016666666667,-83.0544444444444,NAD83,42.7016666666667,-83.0544444444444,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
USGS,U.S. Geological Survey,USGS-041645334,"TRIB TO LAWSON DR AT SHADYDALE DR NR DISCO, MI",Stream,,Michigan,United States of America,Macomb County,US,MI,,04090003,040900030307,,,42.7027777777778,-83.0472222222222,NAD83,42.7027777777778,-83.0472222222222,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,,USGS,,,
